Number of words,36429
Number of unique words,2660
Average word frequency,13.695113
Entropy,6.890994

Word,Frequency,Proportion,Entropy Term
somewhat,5,0.000137,0.001221
menacingly,4,0.000110,0.001001
haunted,11,0.000302,0.002447
house,86,0.002361,0.014280
such,42,0.001153,0.007800
good,50,0.001373,0.009046
calls,53,0.001455,0.009505
tall,4,0.000110,0.001001
distance,4,0.000110,0.001001
directly,4,0.000110,0.001001
front,17,0.000467,0.003579
herself,9,0.000247,0.002052
forward,5,0.000137,0.001221
ok,7,0.000192,0.001644
follows,4,0.000110,0.001001
series,7,0.000192,0.001644
comments,7,0.000192,0.001644
society,13,0.000357,0.002833
free,8,0.000220,0.001850
pass,4,0.000110,0.001001
referring,5,0.000137,0.001221
easy,4,0.000110,0.001001
looking,28,0.000769,0.005512
inappropriate,6,0.000165,0.001435
showing,11,0.000302,0.002447
times,31,0.000851,0.006016
fire,14,0.000384,0.003022
alarm,20,0.000549,0.004122
space,7,0.000192,0.001644
suddenly,3,0.000082,0.000774
black,47,0.001290,0.008584
friday,38,0.001043,0.007162
keep,25,0.000686,0.004999
myself,3,0.000082,0.000774
wearing,108,0.002965,0.017257
costumes,63,0.001729,0.010999
turns,7,0.000192,0.001644
something,58,0.001592,0.010258
minor,5,0.000137,0.001221
hall,3,0.000082,0.000774
watch,12,0.000329,0.002641
guests,3,0.000082,0.000774
stare,3,0.000082,0.000774
everyone,14,0.000384,0.003022
staring,6,0.000165,0.001435
regard,3,0.000082,0.000774
feels,6,0.000165,0.001435
share,10,0.000275,0.002251
love,8,0.000220,0.001850
manner,10,0.000275,0.002251
deeper,3,0.000082,0.000774
average,3,0.000082,0.000774
detail,4,0.000110,0.001001
amid,12,0.000329,0.002641
between,29,0.000796,0.005681
conversations,4,0.000110,0.001001
place,41,0.001125,0.007641
among,17,0.000467,0.003579
return,4,0.000110,0.001001
id,3,0.000082,0.000774
having,18,0.000494,0.003762
line,12,0.000329,0.002641
sight,5,0.000137,0.001221
jr,5,0.000137,0.001221
lead,13,0.000357,0.002833
ring,3,0.000082,0.000774
juggalos,7,0.000192,0.001644
video,39,0.001071,0.007322
sad,12,0.000329,0.002641
million,4,0.000110,0.001001
views,5,0.000137,0.001221
youtube,4,0.000110,0.001001
spread,39,0.001071,0.007322
interesting,4,0.000110,0.001001
humor,6,0.000165,0.001435
figure,19,0.000522,0.003942
sentiment,3,0.000082,0.000774
revered,3,0.000082,0.000774
feared,3,0.000082,0.000774
seems,13,0.000357,0.002833
fascination,4,0.000110,0.001001
mean,6,0.000165,0.001435
coulrophobia,18,0.000494,0.003762
read,18,0.000494,0.003762
lot,29,0.000796,0.005681
strange,27,0.000741,0.005342
town,24,0.000659,0.004826
wasco,5,0.000137,0.001221
california,12,0.000329,0.002641
late,20,0.000549,0.004122
night,115,0.003157,0.018178
dressing,46,0.001263,0.008428
streets,28,0.000769,0.005512
makeup,45,0.001235,0.008272
crime,26,0.000714,0.005171
itself,12,0.000329,0.002641
must,5,0.000137,0.001221
frightened,4,0.000110,0.001001
especially,13,0.000357,0.002833
literally,6,0.000165,0.001435
death,16,0.000439,0.003395
see,81,0.002224,0.013583
god,5,0.000137,0.001221
television,7,0.000192,0.001644
living,16,0.000439,0.003395
move,5,0.000137,0.001221
immediately,21,0.000576,0.004300
nothing,39,0.001071,0.007322
comes,26,0.000714,0.005171
stand,4,0.000110,0.001001
stop,42,0.001153,0.007800
citizens,12,0.000329,0.002641
false,28,0.000769,0.005512
sense,12,0.000329,0.002641
comfort,3,0.000082,0.000774
update,6,0.000165,0.001435
instagram,16,0.000439,0.003395
account,18,0.000494,0.003762
antics,3,0.000082,0.000774
photo,18,0.000494,0.003762
project,4,0.000110,0.001001
wife,9,0.000247,0.002052
likely,16,0.000439,0.003395
story,29,0.000796,0.005681
fortunately,4,0.000110,0.001001
nearby,15,0.000412,0.003210
bakersfield,5,0.000137,0.001221
copycat,11,0.000302,0.002447
probably,23,0.000631,0.004652
legitimate,9,0.000247,0.002052
evil,50,0.001373,0.009046
monster,8,0.000220,0.001850
ap,6,0.000165,0.001435
dressed,172,0.004722,0.025287
causing,15,0.000412,0.003210
stir,3,0.000082,0.000774
san,9,0.000247,0.002052
valley,17,0.000467,0.003579
latest,24,0.000659,0.004826
sighting,50,0.001373,0.009046
police,692,0.018996,0.075291
responded,30,0.000824,0.005849
holding,16,0.000439,0.003395
officers,66,0.001812,0.011438
searched,9,0.000247,0.002052
find,50,0.001373,0.009046
week,86,0.002361,0.014280
during,34,0.000933,0.006512
received,105,0.002882,0.016859
numerous,13,0.000357,0.002833
mischievous,6,0.000165,0.001435
newspaper,6,0.000165,0.001435
arrested,86,0.002361,0.014280
acknowledged,4,0.000110,0.001001
chasing,28,0.000769,0.005512
younger,5,0.000137,0.001221
juveniles,12,0.000329,0.002641
residents,84,0.002306,0.014002
apartment,89,0.002443,0.014694
complex,77,0.002114,0.013019
greenville,166,0.004557,0.024566
answers,4,0.000110,0.001001
done,5,0.000137,0.001221
hundred,5,0.000137,0.001221
sun,3,0.000082,0.000774
hamby,3,0.000082,0.000774
mark,5,0.000137,0.001221
family,18,0.000494,0.003762
live,15,0.000412,0.003210
fleetwood,56,0.001537,0.009958
manor,54,0.001482,0.009656
apartments,54,0.001482,0.009656
hes,15,0.000412,0.003210
spent,6,0.000165,0.001435
past,27,0.000741,0.005342
four,27,0.000741,0.005342
months,44,0.001208,0.008115
air,8,0.000220,0.001850
ive,7,0.000192,0.001644
talked,6,0.000165,0.001435
management,10,0.000275,0.002251
nobody,9,0.000247,0.002052
