Number of pairs,37329.000000
Number of unique pairs,6667
Average pair frequency,5.599070
Pair entropy,8.481172

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown walk,3.000000,0.000080,0.000758,1.092069
clown gags,3.000000,0.000080,0.000758,1.588506
clown spotted,17.000000,0.000455,0.003504,2.177975
clown aug,4.000000,0.000107,0.000980,1.379751
clown facebook,5.000000,0.000134,0.001195,0.331670
clown popped,4.000000,0.000107,0.000980,2.435804
clown terror,5.000000,0.000134,0.001195,2.099332
clown photos,3.000000,0.000080,0.000758,1.662614
clown show,4.000000,0.000107,0.000980,1.624874
clown full,9.000000,0.000241,0.002008,1.892189
clown high,6.000000,0.000161,0.001404,0.672215
clown viral,7.000000,0.000188,0.001609,1.896808
clown carolina,20.000000,0.000536,0.004035,1.114048
clown multiple,3.000000,0.000080,0.000758,0.672215
clown rash,7.000000,0.000188,0.001609,1.896808
clown incidents,12.000000,0.000321,0.002585,1.454975
clown sightings,203.000000,0.005438,0.028356,2.715309
clown complexes,3.000000,0.000080,0.000758,2.435804
clown areas,9.000000,0.000241,0.002008,1.612604
clown county,6.000000,0.000161,0.001404,-0.129145
clown road,7.000000,0.000188,0.001609,1.779024
clown woods,80.000000,0.002143,0.013170,2.072899
clown wooded,9.000000,0.000241,0.002008,1.829668
clown reportedly,8.000000,0.000214,0.001811,1.494821
clown children,60.000000,0.001607,0.010340,1.606525
clown situation,5.000000,0.000134,0.001195,0.888242
clown surfaced,6.000000,0.000161,0.001404,2.212660
clown officer,6.000000,0.000161,0.001404,1.394350
clown information,3.000000,0.000080,0.000758,0.826366
clown hair,8.000000,0.000214,0.001811,1.742657
clown masks,48.000000,0.001286,0.008559,2.857017
clown found,3.000000,0.000080,0.000758,-0.166886
clown left,6.000000,0.000161,0.001404,2.030339
clown complaints,3.000000,0.000080,0.000758,0.701203
clown lure,41.000000,0.001098,0.007484,2.198132
clown appears,5.000000,0.000134,0.001195,1.647347
clown public,14.000000,0.000375,0.002959,1.257149
clown several,8.000000,0.000214,0.001811,0.777576
clown clothing,17.000000,0.000455,0.003504,3.071793
clown childrens,5.000000,0.000134,0.001195,1.371093
clown hours,5.000000,0.000134,0.001195,1.272653
clown court,3.000000,0.000080,0.000758,1.394350
clown community,7.000000,0.000188,0.001609,1.183041
clown suspicious,3.000000,0.000080,0.000758,0.100429
clown character,4.000000,0.000107,0.000980,1.379751
clown attire,10.000000,0.000268,0.002203,2.946630
clown white,25.000000,0.000670,0.004895,1.826038
clown paint,10.000000,0.000268,0.002203,2.173440
clown enticing,5.000000,0.000134,0.001195,2.541165
clown state,11.000000,0.000295,0.002396,1.084195
clown name,3.000000,0.000080,0.000758,1.049510
clown blinking,12.000000,0.000321,0.002585,3.048908
clown nose,20.000000,0.000536,0.004035,2.569335
