Number of pairs,39082.000000
Number of unique pairs,6621
Average pair frequency,5.902734
Pair entropy,8.409873

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown nothing,6.000000,0.000154,0.001348,0.738176
clown comes,3.000000,0.000077,0.000727,0.450494
clown stop,7.000000,0.000179,0.001545,0.818219
clown citizens,4.000000,0.000102,0.000940,1.511366
clown instagram,4.000000,0.000102,0.000940,1.223684
clown account,3.000000,0.000077,0.000727,0.818219
clown antics,3.000000,0.000077,0.000727,2.609978
clown photo,3.000000,0.000077,0.000727,0.818219
clown nearby,7.000000,0.000179,0.001545,1.847838
clown probably,3.000000,0.000077,0.000727,0.573096
clown evil,5.000000,0.000128,0.001147,0.307393
clown dressed,17.000000,0.000435,0.003367,0.295697
clown causing,6.000000,0.000154,0.001348,1.693688
clown sighting,28.000000,0.000716,0.005188,2.030160
clown police,63.000000,0.001612,0.010366,0.213527
clown responded,3.000000,0.000077,0.000727,0.307393
clown holding,9.000000,0.000230,0.001929,2.034614
clown officers,4.000000,0.000102,0.000940,-0.193382
clown find,11.000000,0.000281,0.002301,1.095851
clown week,11.000000,0.000281,0.002301,0.553526
clown during,8.000000,0.000205,0.001739,1.163059
clown arrested,13.000000,0.000333,0.002664,0.720580
clown chasing,11.000000,0.000281,0.002301,1.675669
clown residents,12.000000,0.000307,0.002484,0.664068
clown apartment,31.000000,0.000793,0.005663,1.555329
clown complex,19.000000,0.000486,0.003709,1.210612
clown greenville,26.000000,0.000665,0.004867,0.756087
clown family,3.000000,0.000077,0.000727,0.818219
clown live,6.000000,0.000154,0.001348,1.693688
clown fleetwood,6.000000,0.000154,0.001348,0.376386
clown manor,7.000000,0.000179,0.001545,0.566904
clown apartments,11.000000,0.000281,0.002301,1.018890
clown past,7.000000,0.000179,0.001545,1.260052
clown four,4.000000,0.000102,0.000940,0.700436
clown months,14.000000,0.000358,0.002842,1.464846
clown daughter,3.000000,0.000077,0.000727,1.143641
clown simply,3.000000,0.000077,0.000727,0.936002
clown usually,3.000000,0.000077,0.000727,1.629149
clown child,8.000000,0.000205,0.001739,0.738176
clown isnt,6.000000,0.000154,0.001348,0.967751
clown kill,9.000000,0.000230,0.001929,1.588327
clown getting,3.000000,0.000077,0.000727,0.450494
clown reached,4.000000,0.000102,0.000940,0.860778
clown walking,16.000000,0.000409,0.003194,1.393583
clown green,22.000000,0.000563,0.004212,2.012141
clown bay,5.000000,0.000128,0.001147,1.000540
clown balloons,3.000000,0.000077,0.000727,1.223684
clown doesnt,9.000000,0.000230,0.001929,1.862764
clown armed,18.000000,0.000461,0.003539,2.034614
clown dangerous,10.000000,0.000256,0.002116,1.511366
clown department,4.000000,0.000102,0.000940,-0.557604
clown walk,3.000000,0.000077,0.000727,0.573096
clown gags,3.000000,0.000077,0.000727,1.069533
clown spotted,31.000000,0.000793,0.005663,2.259776
clown aug,4.000000,0.000102,0.000940,0.860778
clown facebook,8.000000,0.000205,0.001739,0.282701
clown page,3.000000,0.000077,0.000727,0.307393
clown popped,5.000000,0.000128,0.001147,2.139975
clown terror,5.000000,0.000128,0.001147,1.580359
clown photos,3.000000,0.000077,0.000727,1.143641
clown show,5.000000,0.000128,0.001147,1.329044
clown full,10.000000,0.000256,0.002116,1.478576
clown high,14.000000,0.000358,0.002842,1.000540
clown horror,6.000000,0.000154,0.001348,0.875377
clown film,3.000000,0.000077,0.000727,0.450494
clown gone,4.000000,0.000102,0.000940,1.511366
clown viral,11.000000,0.000281,0.002301,1.829820
clown carolina,34.000000,0.000870,0.006131,1.125704
clown multiple,3.000000,0.000077,0.000727,0.153243
clown investigating,3.000000,0.000077,0.000727,0.242855
clown rash,7.000000,0.000179,0.001545,1.377835
clown incidents,12.000000,0.000307,0.002484,0.936002
clown sightings,210.000000,0.005373,0.028083,2.230238
clown complexes,5.000000,0.000128,0.001147,2.427657
clown areas,16.000000,0.000409,0.003194,1.668995
clown county,12.000000,0.000307,0.002484,0.045029
clown road,7.000000,0.000179,0.001545,1.260052
clown confirmed,3.000000,0.000077,0.000727,0.664068
clown woods,177.000000,0.004529,0.024444,2.348049
clown cases,3.000000,0.000077,0.000727,0.307393
clown initially,3.000000,0.000077,0.000727,1.310695
clown wooded,16.000000,0.000409,0.003194,1.886059
clown reportly,19.000000,0.000486,0.003709,1.890856
clown encourage,3.000000,0.000077,0.000727,1.916831
clown children,117.000000,0.002994,0.017397,1.755381
clown situation,6.000000,0.000154,0.001348,0.551590
clown knocking,4.000000,0.000102,0.000940,2.609978
clown doors,4.000000,0.000102,0.000940,1.799048
clown homes,4.000000,0.000102,0.000940,2.204513
clown evidence,4.000000,0.000102,0.000940,0.235073
clown surfaced,8.000000,0.000205,0.001739,1.981370
clown officer,7.000000,0.000179,0.001545,1.029528
clown information,3.000000,0.000077,0.000727,0.307393
clown hair,11.000000,0.000281,0.002301,1.542138
clown masks,48.000000,0.001228,0.008232,2.338045
clown faces,3.000000,0.000077,0.000727,0.936002
clown begin,3.000000,0.000077,0.000727,1.511366
clown found,9.000000,0.000230,0.001929,0.412754
