Number of pairs,27786.000000
Number of unique pairs,4924
Average pair frequency,5.642973
Pair entropy,8.144008

Pair,Frequency,Proportion,Entropy Term,Mutual Information
reports state,3.000000,0.000108,0.000986,2.141585
reports coming,3.000000,0.000108,0.000986,3.023974
reports multiple,3.000000,0.000108,0.000986,3.023974
reports menacing,8.000000,0.000288,0.002347,4.592590
reports strange,3.000000,0.000108,0.000986,3.023974
reports threatened,3.000000,0.000108,0.000986,3.611761
reports suspicious,6.000000,0.000216,0.001823,3.157506
reports investigating,4.000000,0.000144,0.001273,3.429439
reports knocking,3.000000,0.000108,0.000986,5.221199
reports doors,3.000000,0.000108,0.000986,4.209598
reports surfaced,5.000000,0.000180,0.001552,4.410269
reports friday,3.000000,0.000108,0.000986,2.918614
reports information,3.000000,0.000108,0.000986,3.173506
reports confirmed,5.000000,0.000180,0.001552,4.073796
reports lurking,9.000000,0.000324,0.002603,4.179745
reports sept,3.000000,0.000108,0.000986,3.471999
reports mass,3.000000,0.000108,0.000986,3.663054
reports feeling,3.000000,0.000108,0.000986,3.968436
reports firing,3.000000,0.000108,0.000986,5.508881
woman attacked,10.000000,0.000360,0.002854,6.027920
woman man,9.000000,0.000324,0.002603,3.849388
woman dressed,6.000000,0.000216,0.001823,3.303341
woman clown,17.000000,0.000612,0.004527,2.105947
woman threat,3.000000,0.000108,0.000986,3.319870
woman police,7.000000,0.000252,0.002088,2.105947
woman reported,14.000000,0.000504,0.003826,3.984846
woman area,4.000000,0.000144,0.001273,3.232164
woman clowns,4.000000,0.000144,0.001273,1.118027
woman called,4.000000,0.000144,0.001273,3.532651
woman seeing,4.000000,0.000144,0.001273,3.737914
woman saw,6.000000,0.000216,0.001823,3.676545
woman described,4.000000,0.000144,0.001273,5.274148
woman son,5.000000,0.000180,0.001552,4.746986
woman person,3.000000,0.000108,0.000986,2.914405
woman deputy,4.000000,0.000144,0.001273,4.393790
woman identified,3.000000,0.000108,0.000986,5.111630
woman male,5.000000,0.000180,0.001552,6.133281
attacked man,6.000000,0.000216,0.001823,5.022901
attacked dressed,9.000000,0.000324,0.002603,5.287785
attacked clown,14.000000,0.000504,0.003826,3.490770
attacked male,4.000000,0.000144,0.001273,7.489116
man woman,4.000000,0.000144,0.001273,3.038458
man dressed,23.000000,0.000828,0.005874,4.152882
man clown,47.000000,0.001691,0.010795,2.628688
man police,3.000000,0.000108,0.000986,0.764456
man wearing,15.000000,0.000540,0.004062,4.172750
man red,4.000000,0.000144,0.001273,3.322709
man white,5.000000,0.000180,0.001552,3.221192
man mask,15.000000,0.000540,0.004062,4.139134
man arrested,6.000000,0.000216,0.001823,3.541297
man kids,5.000000,0.000180,0.001552,2.648926
man machete,4.000000,0.000144,0.001273,4.394293
man someone,4.000000,0.000144,0.001273,2.722819
man wielding,3.000000,0.000108,0.000986,4.617436
man black,9.000000,0.000324,0.002603,4.435115
man pictures,5.000000,0.000180,0.001552,4.540475
man knife,4.000000,0.000144,0.001273,4.057821
man suit,3.000000,0.000108,0.000986,4.492273
man costume,4.000000,0.000144,0.001273,3.393661
man clothing,4.000000,0.000144,0.001273,4.617436
man shortly,3.000000,0.000108,0.000986,5.379576
man jacket,3.000000,0.000108,0.000986,4.552898
man charged,3.000000,0.000108,0.000986,3.828979
man lurking,3.000000,0.000108,0.000986,3.799126
dressed clown,112.000000,0.004031,0.022225,3.356457
dressed wearing,4.000000,0.000144,0.001273,2.710413
dressed creepy,3.000000,0.000108,0.000986,1.454805
dressed clowns,53.000000,0.001907,0.011944,3.067249
dressed woods,7.000000,0.000252,0.002088,2.559932
dressed lure,20.000000,0.000720,0.005209,4.345826
dressed scary,3.000000,0.000108,0.000986,2.405781
dressed children,25.000000,0.000900,0.006310,3.618193
dressed holding,3.000000,0.000108,0.000986,4.189172
dressed circus,7.000000,0.000252,0.002088,4.368641
dressed costumes,6.000000,0.000216,0.001823,3.688397
dressed possibly,3.000000,0.000108,0.000986,4.093862
dressed hiding,3.000000,0.000108,0.000986,4.699998
dressed jumping,4.000000,0.000144,0.001273,4.907637
dressed suit,3.000000,0.000108,0.000986,4.351691
dressed costume,10.000000,0.000360,0.002854,4.169370
dressed backyard,4.000000,0.000144,0.001273,5.275362
dressed standing,8.000000,0.000288,0.002347,4.404534
dressed attire,10.000000,0.000360,0.002854,5.903971
dressed front,3.000000,0.000108,0.000986,3.573987
dressed clothing,8.000000,0.000288,0.002347,5.170002
dressed lurking,3.000000,0.000108,0.000986,3.658544
dressed carrying,3.000000,0.000108,0.000986,4.351691
clown school,16.000000,0.000576,0.004296,0.861131
clown schools,6.000000,0.000216,0.001823,0.635258
clown reports,29.000000,0.001044,0.007165,1.427843
clown woman,4.000000,0.000144,0.001273,0.659028
clown attacked,3.000000,0.000108,0.000986,1.950325
clown man,6.000000,0.000216,0.001823,0.570300
clown dressed,13.000000,0.000468,0.003587,1.202908
clown attack,5.000000,0.000180,0.001552,2.365840
clown threat,11.000000,0.000396,0.003102,1.745530
clown students,3.000000,0.000108,0.000986,0.125775
clown grabbed,5.000000,0.000180,0.001552,2.238007
clown threats,39.000000,0.001404,0.009220,2.346220
clown seriously,3.000000,0.000108,0.000986,0.903006
clown morning,3.000000,0.000108,0.000986,1.308471
clown police,19.000000,0.000684,0.004983,0.230853
clown matter,20.000000,0.000720,0.005209,2.835844
clown approached,4.000000,0.000144,0.001273,2.748832
clown kill,8.000000,0.000288,0.002347,2.492899
clown reported,29.000000,0.001044,0.007165,1.839462
clown allegedly,6.000000,0.000216,0.001823,1.832542
clown area,17.000000,0.000612,0.004527,1.805461
clown wearing,6.000000,0.000216,0.001823,0.877030
clown outfit,3.000000,0.000108,0.000986,3.000147
clown red,17.000000,0.000612,0.004527,2.390198
clown wig,4.000000,0.000144,0.001273,2.343367
clown white,21.000000,0.000756,0.005432,2.276846
clown mask,78.000000,0.002807,0.016494,3.408363
clown incident,3.000000,0.000108,0.000986,0.457420
clown arrested,6.000000,0.000216,0.001823,1.161867
clown high,3.000000,0.000108,0.000986,0.602251
clown creepy,9.000000,0.000324,0.002603,0.314569
clown incidents,11.000000,0.000396,0.003102,2.086457
clown popping,4.000000,0.000144,0.001273,2.668790
clown country,14.000000,0.000504,0.003826,2.079783
clown social,17.000000,0.000612,0.004527,1.670023
clown media,8.000000,0.000288,0.002347,0.808892
clown driving,6.000000,0.000216,0.001823,2.420328
clown trend,5.000000,0.000180,0.001552,1.930522
clown kids,17.000000,0.000612,0.004527,1.493272
clown chased,12.000000,0.000432,0.003346,2.400526
clown bus,3.000000,0.000108,0.000986,1.687960
clown stop,4.000000,0.000144,0.001273,1.156201
clown clowns,11.000000,0.000396,0.003102,-0.743995
clown spotted,16.000000,0.000576,0.004296,2.835844
clown forest,5.000000,0.000180,0.001552,2.817825
clown north,9.000000,0.000324,0.002603,1.650220
clown carolina,8.000000,0.000288,0.002347,0.916251
clown machete,6.000000,0.000216,0.001823,2.420328
clown edge,4.000000,0.000144,0.001273,2.400526
clown people,16.000000,0.000576,0.004296,0.347156
clown reportedly,8.000000,0.000288,0.002347,2.213314
clown woods,52.000000,0.001871,0.011755,2.326418
clown recent,8.000000,0.000288,0.002347,1.609398
clown lure,38.000000,0.001368,0.009019,2.748832
clown south,12.000000,0.000432,0.003346,1.464817
clown called,3.000000,0.000108,0.000986,0.371346
clown report,7.000000,0.000252,0.002088,0.888080
clown someone,10.000000,0.000360,0.002854,1.259681
clown scary,5.000000,0.000180,0.001552,0.677759
clown curly,5.000000,0.000180,0.001552,3.510972
clown pants,5.000000,0.000180,0.001552,2.512443
clown shoes,12.000000,0.000432,0.003346,3.196857
clown apartment,15.000000,0.000540,0.004062,2.033706
clown complex,7.000000,0.000252,0.002088,1.423907
clown lives,19.000000,0.000684,0.004983,3.208365
clown children,38.000000,0.001368,0.009019,1.798055
clown saw,4.000000,0.000144,0.001273,0.397457
clown chase,4.000000,0.000144,0.001273,2.931154
clown sighting,28.000000,0.001008,0.006953,3.209357
clown days,3.000000,0.000108,0.000986,1.095909
clown night,5.000000,0.000180,0.001552,0.522409
clown wielding,7.000000,0.000252,0.002088,3.085304
clown county,3.000000,0.000108,0.000986,-0.103799
clown having,3.000000,0.000108,0.000986,1.544859
clown hair,3.000000,0.000108,0.000986,1.034034
clown nose,21.000000,0.000756,0.005432,3.085304
clown black,5.000000,0.000180,0.001552,1.467898
clown week,3.000000,0.000108,0.000986,0.402762
clown greenville,6.000000,0.000216,0.001823,0.515240
