Number of pairs,28825.000000
Number of unique pairs,4916
Average pair frequency,5.863507
Pair entropy,8.096612

Pair,Frequency,Proportion,Entropy Term,Mutual Information
reports menacing,8.000000,0.000278,0.002273,4.555922
reports strange,3.000000,0.000104,0.000954,2.987306
reports threatened,3.000000,0.000104,0.000954,3.575093
reports suspicious,6.000000,0.000208,0.001765,3.120837
reports investigating,4.000000,0.000139,0.001233,3.392771
reports knocking,3.000000,0.000104,0.000954,5.184530
reports doors,3.000000,0.000104,0.000954,4.172930
reports surfaced,5.000000,0.000173,0.001502,4.373600
reports friday,3.000000,0.000104,0.000954,2.881945
reports information,3.000000,0.000104,0.000954,3.136838
reports confirmed,5.000000,0.000173,0.001502,4.037128
reports lurking,9.000000,0.000312,0.002520,4.143077
reports sept,3.000000,0.000104,0.000954,3.435331
reports mass,3.000000,0.000104,0.000954,3.626386
reports feeling,3.000000,0.000104,0.000954,3.931768
reports firing,3.000000,0.000104,0.000954,5.472213
woman attacked,10.000000,0.000347,0.002764,5.991252
woman man,9.000000,0.000312,0.002520,3.812719
woman dressed,6.000000,0.000208,0.001765,3.266672
woman clowns,21.000000,0.000729,0.005263,1.793334
woman threat,3.000000,0.000104,0.000954,3.283202
woman police,7.000000,0.000243,0.002021,2.069278
woman reported,14.000000,0.000486,0.003706,3.948178
woman area,4.000000,0.000139,0.001233,3.195496
woman called,4.000000,0.000139,0.001233,3.495982
woman seeing,4.000000,0.000139,0.001233,3.701245
woman saw,6.000000,0.000208,0.001765,3.639877
woman described,4.000000,0.000139,0.001233,5.237480
woman son,5.000000,0.000173,0.001502,4.710318
woman person,3.000000,0.000104,0.000954,2.877736
woman deputy,4.000000,0.000139,0.001233,4.357121
woman identified,3.000000,0.000104,0.000954,5.074961
woman male,5.000000,0.000173,0.001502,6.096612
attacked man,6.000000,0.000208,0.001765,4.986233
attacked dressed,9.000000,0.000312,0.002520,5.251116
attacked clowns,14.000000,0.000486,0.003706,2.966848
attacked male,4.000000,0.000139,0.001233,7.452447
man woman,4.000000,0.000139,0.001233,3.001789
man dressed,23.000000,0.000798,0.005692,4.116214
man clowns,47.000000,0.001631,0.010466,2.104766
man police,3.000000,0.000104,0.000954,0.727787
man wearing,15.000000,0.000520,0.003935,4.136082
man red,4.000000,0.000139,0.001233,3.286041
man white,5.000000,0.000173,0.001502,3.184523
man mask,15.000000,0.000520,0.003935,4.102465
man arrested,6.000000,0.000208,0.001765,3.504628
man kids,5.000000,0.000173,0.001502,2.612258
man machete,4.000000,0.000139,0.001233,4.357624
man someone,4.000000,0.000139,0.001233,2.686151
man wielding,3.000000,0.000104,0.000954,4.580768
man black,9.000000,0.000312,0.002520,4.398446
man pictures,5.000000,0.000173,0.001502,4.503807
man knife,4.000000,0.000139,0.001233,4.021152
man suit,3.000000,0.000104,0.000954,4.455605
man costume,4.000000,0.000139,0.001233,3.356992
man clothing,4.000000,0.000139,0.001233,4.580768
man shortly,3.000000,0.000104,0.000954,5.342908
man jacket,3.000000,0.000104,0.000954,4.516229
man charged,3.000000,0.000104,0.000954,3.792310
man lurking,3.000000,0.000104,0.000954,3.762457
dressed clowns,165.000000,0.005724,0.029554,3.219982
dressed wearing,4.000000,0.000139,0.001233,2.673744
dressed creepy,3.000000,0.000104,0.000954,1.418136
dressed woods,7.000000,0.000243,0.002021,2.523263
dressed lure,20.000000,0.000694,0.005046,4.309158
dressed scary,3.000000,0.000104,0.000954,2.369113
dressed children,25.000000,0.000867,0.006115,3.581524
dressed holding,3.000000,0.000104,0.000954,4.152504
dressed circus,7.000000,0.000243,0.002021,4.331972
dressed costumes,6.000000,0.000208,0.001765,3.651729
dressed possibly,3.000000,0.000104,0.000954,4.057194
dressed hiding,3.000000,0.000104,0.000954,4.663329
dressed jumping,4.000000,0.000139,0.001233,4.870969
dressed suit,3.000000,0.000104,0.000954,4.315023
dressed costume,10.000000,0.000347,0.002764,4.132701
dressed backyard,4.000000,0.000139,0.001233,5.238694
dressed standing,8.000000,0.000278,0.002273,4.367865
dressed attire,10.000000,0.000347,0.002764,5.867302
dressed front,3.000000,0.000104,0.000954,3.537318
dressed clothing,8.000000,0.000278,0.002273,5.133333
dressed lurking,3.000000,0.000104,0.000954,3.621876
dressed carrying,3.000000,0.000104,0.000954,4.315023
clowns school,25.000000,0.000867,0.006115,0.783497
clowns schools,16.000000,0.000555,0.004161,1.092165
clowns today,3.000000,0.000104,0.000954,0.784549
clowns reports,34.000000,0.001180,0.007953,1.062986
clowns woman,6.000000,0.000208,0.001765,0.540571
clowns attacked,3.000000,0.000104,0.000954,1.426403
clowns man,9.000000,0.000312,0.002520,0.451843
clowns dressed,14.000000,0.000486,0.003706,0.753094
clowns officials,3.000000,0.000104,0.000954,0.510112
clowns attack,6.000000,0.000208,0.001765,2.024240
clowns threat,12.000000,0.000416,0.003241,1.308620
clowns students,10.000000,0.000347,0.002764,0.805826
clowns grabbed,5.000000,0.000173,0.001502,1.714085
clowns threats,45.000000,0.001561,0.010089,1.965399
clowns safety,3.000000,0.000104,0.000954,0.327790
clowns seriously,4.000000,0.000139,0.001233,0.666766
clowns morning,3.000000,0.000104,0.000954,0.784549
clowns police,31.000000,0.001075,0.007351,0.196479
clowns matter,21.000000,0.000729,0.005263,2.360712
clowns approached,8.000000,0.000278,0.002273,2.918057
clowns kill,10.000000,0.000347,0.002764,2.192120
clowns reported,38.000000,0.001318,0.008742,1.585830
clowns allegedly,15.000000,0.000520,0.003935,2.224910
clowns area,31.000000,0.001075,0.007351,1.882312
clowns wearing,7.000000,0.000243,0.002021,0.507259
clowns outfit,3.000000,0.000104,0.000954,2.476225
clowns red,18.000000,0.000624,0.004608,1.923435
clowns wig,4.000000,0.000139,0.001233,1.819445
clowns white,28.000000,0.000971,0.006738,2.040607
clowns mask,78.000000,0.002706,0.015999,2.884441
clowns incident,3.000000,0.000104,0.000954,-0.066502
clowns comes,3.000000,0.000104,0.000954,1.089930
clowns arrested,10.000000,0.000347,0.002764,1.148771
clowns high,9.000000,0.000312,0.002520,1.176942
clowns creepy,18.000000,0.000624,0.004608,0.483795
clowns incidents,11.000000,0.000382,0.003004,1.562535
clowns popping,11.000000,0.000382,0.003004,3.156468
clowns country,29.000000,0.001006,0.006944,2.284099
clowns social,22.000000,0.000763,0.005478,1.403930
clowns media,12.000000,0.000416,0.003241,0.690435
clowns driving,11.000000,0.000382,0.003004,2.502542
clowns trend,11.000000,0.000382,0.003004,2.195057
clowns kids,35.000000,0.001214,0.008152,1.691485
clowns georgia,3.000000,0.000104,0.000954,0.956399
clowns chased,17.000000,0.000590,0.004385,2.224910
clowns bus,3.000000,0.000104,0.000954,1.164038
clowns stop,4.000000,0.000139,0.001233,0.632279
clowns spotted,33.000000,0.001145,0.007753,3.035840
clowns forest,6.000000,0.000208,0.001765,2.476225
clowns north,15.000000,0.000520,0.003935,1.637124
clowns carolina,14.000000,0.000486,0.003706,0.951945
clowns machete,6.000000,0.000208,0.001765,1.896406
clowns edge,6.000000,0.000208,0.001765,2.282069
clowns people,55.000000,0.001908,0.011948,1.057979
clowns reportedly,19.000000,0.000659,0.004828,2.554389
clowns woods,133.000000,0.004614,0.024817,2.741601
clowns greensboro,3.000000,0.000104,0.000954,1.426403
clowns following,3.000000,0.000104,0.000954,1.164038
clowns recent,9.000000,0.000312,0.002520,1.203259
clowns lure,89.000000,0.003088,0.017847,3.075960
clowns south,21.000000,0.000729,0.005263,1.500511
clowns called,5.000000,0.000173,0.001502,0.358249
clowns report,7.000000,0.000243,0.002021,0.364158
clowns someone,16.000000,0.000555,0.004161,1.205762
clowns scary,14.000000,0.000486,0.003706,1.183456
clowns curly,5.000000,0.000173,0.001502,2.987050
clowns pants,5.000000,0.000173,0.001502,1.988521
clowns shoes,12.000000,0.000416,0.003241,2.672935
clowns apartment,22.000000,0.000763,0.005478,1.892776
clowns complex,10.000000,0.000347,0.002764,1.256660
clowns find,5.000000,0.000173,0.001502,0.576252
clowns lives,19.000000,0.000659,0.004828,2.684443
clowns children,101.000000,0.003504,0.019811,2.251668
clowns saw,7.000000,0.000243,0.002021,0.433151
clowns chase,6.000000,0.000208,0.001765,2.812697
clowns sighting,28.000000,0.000971,0.006738,2.685435
clowns days,5.000000,0.000173,0.001502,1.082813
clowns night,6.000000,0.000208,0.001765,0.180808
clowns wielding,7.000000,0.000243,0.002021,2.561382
clowns county,7.000000,0.000243,0.002021,0.219577
clowns having,3.000000,0.000104,0.000954,1.020937
clowns hair,4.000000,0.000139,0.001233,0.797794
clowns nose,21.000000,0.000729,0.005263,2.561382
clowns black,9.000000,0.000312,0.002520,1.531763
clowns week,4.000000,0.000139,0.001233,0.166522
clowns greenville,9.000000,0.000312,0.002520,0.396783
clowns heightened,3.000000,0.000104,0.000954,1.937228
clowns tensions,3.000000,0.000104,0.000954,2.342693
clowns authorities,4.000000,0.000139,0.001233,0.615472
clowns public,10.000000,0.000347,0.002764,1.104319
clowns know,3.000000,0.000104,0.000954,-0.519508
clowns video,3.000000,0.000104,0.000954,0.396783
clowns pictures,4.000000,0.000139,0.001233,1.413980
clowns son,4.000000,0.000139,0.001233,1.126298
clowns person,12.000000,0.000416,0.003241,0.903154
clowns prank,5.000000,0.000173,0.001502,1.195291
clowns news,12.000000,0.000416,0.003241,1.012639
clowns scare,25.000000,0.000867,0.006115,2.383515
clowns killer,5.000000,0.000173,0.001502,1.061759
clowns craze,18.000000,0.000624,0.004608,2.525015
clowns community,10.000000,0.000347,0.002764,1.694282
clowns chasing,18.000000,0.000624,0.004608,2.525015
clowns due,3.000000,0.000104,0.000954,1.377612
clowns scared,4.000000,0.000139,0.001233,1.154469
clowns causing,5.000000,0.000173,0.001502,2.224910
clowns responded,3.000000,0.000104,0.000954,1.020937
clowns holding,8.000000,0.000278,0.002273,2.407232
clowns during,6.000000,0.000208,0.001765,1.531763
clowns dressing,3.000000,0.000104,0.000954,0.470891
clowns makeup,21.000000,0.000729,0.005263,2.539404
clowns joy,3.000000,0.000104,0.000954,2.630375
clowns local,14.000000,0.000486,0.003706,1.658515
clowns threatening,9.000000,0.000312,0.002520,1.608724
clowns targeting,4.000000,0.000139,0.001233,2.763907
clowns halloween,16.000000,0.000555,0.004161,1.531763
clowns place,5.000000,0.000173,0.001502,0.962669
clowns rumors,6.000000,0.000208,0.001765,1.857185
clowns hysteria,39.000000,0.001353,0.008937,2.556267
clowns lead,3.000000,0.000104,0.000954,1.649546
clowns arrests,3.000000,0.000104,0.000954,1.020937
clowns call,6.000000,0.000208,0.001765,0.660935
clowns scaring,18.000000,0.000624,0.004608,2.748158
clowns years,14.000000,0.000486,0.003706,2.070760
clowns home,5.000000,0.000173,0.001502,0.514120
clowns whole,4.000000,0.000139,0.001233,1.183456
clowns nothing,5.000000,0.000173,0.001502,0.855423
clowns professional,4.000000,0.000139,0.001233,1.098899
clowns stephen,5.000000,0.000173,0.001502,0.962669
clowns kings,3.000000,0.000104,0.000954,1.244081
clowns started,9.000000,0.000312,0.002520,1.230288
clowns continued,3.000000,0.000104,0.000954,1.857185
clowns king,3.000000,0.000104,0.000954,0.470891
clowns twitter,14.000000,0.000486,0.003706,2.050557
clowns sightings,209.000000,0.007251,0.035722,2.900666
clowns hoaxes,6.000000,0.000208,0.001765,1.559934
clowns costumes,45.000000,0.001561,0.010089,2.940530
clowns everything,3.000000,0.000104,0.000954,0.784549
clowns themselves,3.000000,0.000104,0.000954,1.377612
clowns funny,6.000000,0.000208,0.001765,1.286641
clowns isnt,4.000000,0.000139,0.001233,1.046255
clowns without,5.000000,0.000173,0.001502,1.841918
clowns face,25.000000,0.000867,0.006115,1.878959
clowns childrens,5.000000,0.000173,0.001502,1.565665
clowns worried,3.000000,0.000104,0.000954,1.531763
clowns parents,3.000000,0.000104,0.000954,-0.032212
clowns smile,3.000000,0.000104,0.000954,1.126298
clowns something,7.000000,0.000243,0.002021,0.615472
clowns lot,3.000000,0.000104,0.000954,0.660935
