Date, Origin, T1, T2, T3
2016-10-14, News Report, 4, 8, 1
2016-10-14, News Report, 9, 8, 2
2016-10-15, News Report, 4, 6, 9
2016-10-16, News Report, 4, 9, 7
2016-10-17, News Report, 6, 9, 4
2016-10-19, News Report, 4, 8, 2
2016-10-20, News Report, 6, 5, 8
2016-10-21, News Report, 4, 9, 7
2016-10-24, News Report, 9, 8, 7
2016-10-26, News Report, 4, 0, 5
2016-10-29, News Report, 6, 7, 1
2016-10-30, News Report, 4, 6, 1
2016-10-31, News Report, 4, 1, 5
2016-10-31, News Report, 4, 6, 1
2016-11-16, Social Media, 2, 9, 8
2016-11-16, Social Media, 2, 9, 1
2016-11-16, News Report, 7, 0, 2
2016-11-16, Fiction, 6, 4, 0
2016-11-22, Social Media, 7, 6, 0
2016-11-22, Fiction, 0, 8, 7
2016-12-19, Social Media, 8, 4, 1
2016-12-19, News Report, 4, 8, 9
2017-03-07, News Report, 1, 4, 6
2017-10-16, News Report, 2, 4, 8
