Date,Origin,T1,T2,T3
2016-10-14, News Report, 15, 4, 5
2016-10-14, News Report, 13, 1, 9
2016-10-15, News Report, 17, 14, 4
2016-10-16, News Report, 15, 6, 17
2016-10-17, News Report, 17, 13, 4
2016-10-19, News Report, 14, 4, 15
2016-10-20, News Report, 11, 6, 16
2016-10-21, News Report, 4, 17, 13
2016-10-24, News Report, 19, 18, 1
2016-10-26, News Report, 4, 14, 15
2016-10-29, News Report, 17, 6, 11
2016-10-30, News Report, 14, 15, 17
2016-10-31, News Report, 4, 17, 5
2016-10-31, News Report, 17, 4, 15
2016-11-16, Social Media, 9, 2, 4
2016-11-16, Social Media, 9, 17, 2
2016-11-16, News Report, 7, 5, 14
2016-11-16, Fiction, 19, 18, 1
2016-11-22, Social Media, 19, 7, 9
2016-11-22, Fiction, 0, 4, 6
2016-12-19, Social Media, 4, 8, 1
2016-12-19, News Report, 4, 17, 8
2017-03-07, News Report, 5, 17, 14
2017-10-16, News Report, 9, 2, 14
